,Artist Name,Track,Main Genre,Popularity,Year in Top 50
872,Rihanna,Run This Town,barbadian pop,89,2009
873,Kanye West,Run This Town,chicago rap,90,2009
874,Drake,Best I Ever Had,canadian hip hop,97,2009
875,Kings of Leon,Use Somebody,modern rock,73,2009
876,OneRepublic,Secrets,piano rock,84,2009
877,Muse,Uprising,modern rock,75,2009
878,Taylor Swift,You Belong With Me,pop,100,2009
879,Lady Gaga,Just Dance,art pop,84,2009
880,Colby O'Donis,Just Dance,pop rap,67,2009
881,Miley Cyrus,Party In The U.S.A.,dance pop,80,2009
882,T.I.,Live Your Life,atl hip hop,73,2009
883,Rihanna,Live Your Life,barbadian pop,89,2009
884,Green Day,21 Guns,permanent wave,78,2009
885,Britney Spears,Circus,dance pop,81,2009
886,Paramore,The Only Exception,candy pop,78,2009
887,The Fray,You Found Me,neo mellow,68,2009
888,Drake,Forever,canadian hip hop,97,2009
889,Kanye West,Forever,chicago rap,90,2009
890,Lil Wayne,Forever,hip hop,84,2009
891,Eminem,Forever,detroit hip hop,91,2009
892,Eminem,Crack A Bottle,detroit hip hop,91,2009
893,Dr. Dre,Crack A Bottle,g funk,79,2009
894,50 Cent,Crack A Bottle,east coast hip hop,82,2009
895,T.I.,Whatever You Like,atl hip hop,73,2009
896,Kid Cudi,Day 'N' Nite (nightmare),hip hop,81,2009
897,Michael Bublé,Haven't Met You Yet,adult standards,82,2009
898,Lady Gaga,LoveGame,art pop,84,2009
899,Sean Kingston,Fire Burning,dance pop,68,2009
900,Justin Bieber,One Time,canadian pop,90,2009
901,La Roux,Bulletproof,alternative dance,63,2009
902,Shakira,She Wolf,colombian pop,86,2009
903,Florence + The Machine,Dog Days Are Over,baroque pop,74,2009
904,3OH!3,DONTTRUSTME,dance pop,61,2009
905,Britney Spears,If U Seek Amy,dance pop,81,2009
906,Mumford & Sons,Little Lion Man,modern folk rock,71,2009
907,Lady Gaga,Paparazzi,art pop,84,2009
908,Pitbull,Hotel Room Service,dance pop,81,2009
909,The All-American Rejects,Gives You Hell,modern rock,66,2009
910,Ne-Yo,Mad,dance pop,77,2009
911,Linkin Park,New Divide,alternative metal,83,2009
912,Shinedown,Second Chance,alternative metal,70,2009
913,Black Eyed Peas,Meet Me Halfway,dance pop,80,2009
914,Kelly Clarkson,My Life Would Suck Without You,dance pop,77,2009
915,Flo Rida,Low (feat. T-Pain),dance pop,77,2008
916,T-Pain,Low (feat. T-Pain),dance pop,76,2008
917,Katy Perry,I Kissed A Girl,dance pop,84,2008
918,Rihanna,Take A Bow,barbadian pop,89,2008
919,Alicia Keys,No One,hip pop,77,2008
920,Timbaland,Apologize,dance pop,75,2008
921,OneRepublic,Apologize,piano rock,84,2008
922,Ne-Yo,Miss Independent,dance pop,77,2008
923,Chris Brown,With You,dance pop,87,2008
924,Beyoncé,If I Were a Boy,dance pop,86,2008
925,Coldplay,Viva La Vida,permanent wave,88,2008
926,Kanye West,Flashing Lights,chicago rap,90,2008
927,Dwele,Flashing Lights,neo soul,66,2008
928,Kings of Leon,Sex on Fire,modern rock,73,2008
929,The Offspring,"You're Gonna Go Far, Kid",alternative metal,75,2008
930,Rihanna,Don't Stop The Music,barbadian pop,89,2008
931,MGMT,Kids,alternative dance,74,2008
932,M.I.A.,Paper Planes,dance pop,66,2008
933,P!nk,So What,dance pop,79,2008
934,Chris Brown,Forever,dance pop,87,2008
935,Kings of Leon,Use Somebody,modern rock,73,2008
936,Britney Spears,Womanizer,dance pop,81,2008
937,Kanye West,Homecoming,chicago rap,90,2008
938,Rihanna,Disturbia,barbadian pop,89,2008
939,T.I.,Live Your Life,atl hip hop,73,2008
940,Rihanna,Live Your Life,barbadian pop,89,2008
941,Soulja Boy,Crank That (Soulja Boy),atl hip hop,69,2008
942,The Killers,Human,alternative rock,76,2008
943,Finger Eleven,Paralyzer,alternative metal,59,2008
944,Cage The Elephant,Ain't No Rest for the Wicked,modern rock,73,2008
945,Guru Josh Project,Infinity 2008 - Klaas Vocal Edit,acid house,55,2008
946,Klaas,Infinity 2008 - Klaas Vocal Edit,edm,65,2008
947,Kanye West,Good Life,chicago rap,90,2008
948,T-Pain,Good Life,dance pop,76,2008
949,Kardinal Offishall,Dangerous,canadian old school hip hop,60,2008
950,Akon,Dangerous,dance pop,80,2008
951,T.I.,Whatever You Like,atl hip hop,73,2008
952,Bon Iver,Skinny Love,eau claire indie,75,2008
953,Kid Rock,All Summer Long,alternative metal,65,2008
954,Sara Bareilles,Love Song,acoustic pop,65,2008
955,Chris Brown,Kiss Kiss (feat. T-Pain),dance pop,87,2008
956,T-Pain,Kiss Kiss (feat. T-Pain),dance pop,76,2008
957,John Mayer,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",neo mellow,77,2008
958,Usher,Love in This Club (feat. Young Jeezy),atl hip hop,78,2008
959,Jeezy,Love in This Club (feat. Young Jeezy),atl hip hop,70,2008
960,Lil Wayne,Lollipop,hip hop,84,2008
961,Jordin Sparks,No Air (feat. Chris Brown),dance pop,62,2008
962,Chris Brown,No Air (feat. Chris Brown),dance pop,87,2008
963,Rihanna,Hate That I Love You,barbadian pop,89,2008
964,Ne-Yo,Hate That I Love You,dance pop,77,2008
965,Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),dance pop,76,2008
966,Justin Timberlake,4 Minutes (feat. Justin Timberlake & Timbaland),dance pop,79,2008
967,Timbaland,4 Minutes (feat. Justin Timberlake & Timbaland),dance pop,75,2008
968,The Pussycat Dolls,When I Grow Up,dance pop,68,2008
969,Adele,Chasing Pavements,british soul,84,2008
970,Katy Perry,Hot N Cold,dance pop,84,2008
971,Saving Abel,Addicted,alternative metal,55,2008
972,Mariah Carey,Touch My Body,dance pop,81,2008
973,Lil Wayne,A Milli,hip hop,84,2008
974,Jonas Brothers,Burnin' Up,boy band,75,2008
975,Natasha Bedingfield,Pocketful of Sunshine,dance pop,64,2008
976,Jeezy,Put On,atl hip hop,70,2008
977,Kanye West,Put On,chicago rap,90,2008
978,Eric Prydz,Pjanoo - Radio Edit,disco house,63,2008
